timestamp,red
5034366,110736
5055366,110836
5075366,110935
5095366,110879
5115366,110456
5135366,110008
5155366,109782
5175366,109747
5195366,109844
5215366,109991
5235366,110158
5255366,110293
5276366,110429
5296366,110591
5316366,110749
5336366,110879
5356366,110958
5376366,110977
5396366,111020
5416366,111078
5436366,111150
5456366,111245
5476366,111384
5496366,111494
5517366,111588
5537366,111690
5557366,111798
5577366,111888
5597366,111989
5617366,112069
5637366,112163
5657366,112238
5677366,112094
5697366,111568
5717366,111016
5738366,110670
5758366,110615
5778366,110699
5798366,110804
5818366,110968
5838366,111071
5858366,111123
5878366,111229
5898366,111377
5918366,111454
5938366,111434
5959366,111364
5979366,111294
5999366,111287
6019366,111329
6039366,111396
6059366,111462
6079366,111543
6099366,111602
6119366,111684
6139366,111754
6159366,111791
6180366,111818
6200366,111907
6220366,112006
6240366,112040
6260366,111788
6280366,111199
6300366,110669
6320366,110369
6340366,110265
6360366,110287
6380366,110356
6400366,110472
6421366,110570
6441366,110676
6461366,110809
6481366,110929
6501366,111029
6521366,111031
6541366,110998
6561366,110982
6581366,110969
6601366,110983
6621366,111042
6642366,111090
6662366,111163
6682366,111236
6702366,111286
6722366,111312
6742366,111328
6762366,111355
6782366,111416
6802366,111515
6822366,111574
6842366,111427
6863366,110906
6883366,110345
6903366,109950
6923366,109816
6943366,109826
6963366,109899
6983366,109974
7003366,110023
7023366,110053
7043366,110092
7063366,110153
7084366,110206
7104366,110199
7124366,110148
7144366,110073
7164366,110023
7184366,109982
7204366,109972
7224366,110002
7244366,110080
7264366,110122
7284366,110175
7305366,110251
7325366,110290
7345366,110368
7365366,110427
7385366,110510
7405366,110596
7425366,110633
7445366,110594
7465366,110190
7485366,109649
7505366,109249
7525366,109048
7546366,109008
7566366,109061
7586366,109158
7606366,109238
7626366,109303
7646366,109374
7666366,109464
7686366,109533
7706366,109547
7726366,109522
7746366,109494
7767366,109452
7787366,109445
7807366,109474
7827366,109537
7847366,109620
7867366,109697
7887366,109779
7907366,109838
7927366,109889
7947366,109959
7967366,110009
7988366,110052
8008366,110114
8028366,110173
8048366,110187
8068366,109898
8088366,109388
8108366,108949
8128366,108730
8148366,108702
8168366,108756
8188366,108850
8209366,108974
8229366,109056
8249366,109174
8269366,109297
8289366,109393
8309366,109441
8329366,109424
8349366,109355
8369366,109312
8389366,109279
8409366,109319
8430366,109363
8450366,109431
8470366,109511
8490366,109584
8510366,109670
8530366,109748
8550366,109817
8570366,109901
8590366,109965
8610366,110026
8630366,109878
8650366,109402
8671366,108921
8691366,108622
8711366,108523
8731366,108565
8751366,108692
8771366,108823
8791366,108927
8811366,109060
8831366,109189
8851366,109312
8871366,109376
8892366,109377
8912366,109339
8932366,109315
8952366,109310
8972366,109341
8992366,109419
9012366,109501
9032366,109587
9052366,109675
9072366,109747
9092366,109818
9113366,109904
9133366,109969
9153366,110046
9173366,110041
9193366,109695
9213366,109143
9233366,108645
